商品名称,商品价格,店铺名称,商品评论量,发货地,商品链接,店铺链接,图片链接
RBXC 中国特色礼物送老外手工刺绣熊猫双面绣工艺摆件中国风特色礼物送老外成都纪念品 【鸡翅木】福气满满,￥570.55,聂莊家居旗舰店,0,四川,https://item.jd.com/10066211258777.html,https://mall.jd.com/index-11656605.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/138592/28/32193/139375/637c7fa7E127faaaf/b63f602fa054756c.jpg
安靖之乡 中式锦鲤摆件手工刺绣鲤鱼双面绣客厅书房装饰品特色礼品中国风 实木框7寸,￥435.00,安靖蜀绣之乡旗舰店,45,四川,https://item.jd.com/10023053877090.html,https://mall.jd.com/index-10111120.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/146222/17/8320/129271/5f5ee41aE8acd5e72/ea6310cab0f20cfe.jpg
蜀特檀木一字架双面绣家居装饰摆件礼品中国非物质文化遗产四川成都特色手工工艺品蜀特工艺品专营店 插屏20cm红梅雅致 鸡翅木架,￥232.00,蜀特工艺品专营店,12,四川,https://item.jd.com/10046729084468.html,https://mall.jd.com/index-775728.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/96855/7/24353/163331/6232e7adE339a402b/bfad77451840dc85.jpg
蘇宏 苏绣湘绣桌面落地摆件红木台屏会客中国风苏州特色手工艺品 一鸣惊人,￥380.00,蘇宏官方旗舰店,500+,四川,https://item.jd.com/27484213705.html,https://mall.jd.com/index-745744.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/181609/36/6052/154917/60aefcc7E0d0dcbfb/6d4a33da3279a4b7.jpg
陌上桑 双面绣手工刺绣檀木立扇摆件 四川特色礼品 婚礼商务外事送礼佳品文创送老师,￥750.00,齐力礼品专营店,7,四川,https://item.jd.com/10172452709.html,https://mall.jd.com/index-197207.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1867/7/1878378364/225592/d90ae33f/56e127b2Na23aeece.jpg
安靖之乡 国礼典藏梅花熊猫高档礼品摆件 手工刺绣双面绣家居装饰工艺品四川特色中国风非遗礼品 梅花双熊A款,￥870.00,安靖蜀绣之乡旗舰店,9,四川,https://item.jd.com/10032228707845.html,https://mall.jd.com/index-10111120.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/66497/40/11398/672648/5d8dc93cEed8e20f1/e96b3460a5efb659.jpg
苏绣初学双面刺绣印图团扇子手工自绣绣线初学套件材料包钜惠 19,￥100.00,言慕家居日用专营店,0,四川,https://item.jd.com/10049446640931.html,https://mall.jd.com/index-11858426.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/188905/28/23350/119887/625a9242Ef9f4d762/9af047354daae6aa.jpg
陌上桑 双面绣手工刺绣熊猫四川成都特色中式装饰摆件中国风礼品送老外纪念品开业乔迁新居圣诞节礼物 友谊长存（成都发货）,￥309.00,齐力礼品专营店,2000+,四川,https://item.jd.com/10412231994.html,https://mall.jd.com/index-197207.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/67855/24/23890/121805/6386bb01Ec0c1beb0/098a2675ebed9cd7.jpg
陌上桑 双面绣手工刺绣摆件客厅玄关办公室装饰摆件荣华富贵锦鲤四川特色商务礼品送老外出国礼物 芙蓉锦鲤,￥660.00,齐力礼品专营店,44,四川,https://item.jd.com/10040305943982.html,https://mall.jd.com/index-197207.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/160625/14/24310/168713/618b27c0Ef75dff1f/71e5a931ab52b944.jpg
有福 湘绣马到成功龙马精神马系列单龙头精品双面绣客厅书房别墅会所装饰摆件苏绣粤绣 马到成功菠萝格木外框 画心直径25cm,￥558.00,有福湘绣旗舰店,5,四川,https://item.jd.com/20596959115.html,https://mall.jd.com/index-26723.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/81013/20/1636/141327/5d00cf13Ecff5530e/31e3241051d1d2bf.jpg
陌上桑 中国风礼品双面绣檀木手工刺绣熊猫屏风办公室摆件中国四川特色圣诞节礼品送老外出国纪念礼物 母爱,￥548.00,齐力礼品专营店,200+,四川,https://item.jd.com/10045468040262.html,https://mall.jd.com/index-197207.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/212264/32/13687/155309/621eecfbE52082d92/9b29090ec8d8d343.jpg
安靖之乡 竹子熊猫系列非遗装饰摆件 纯手工双面刺绣工艺礼品 四川特色出国礼物伴手礼定制刻字 D款,￥870.00,安靖蜀绣之乡旗舰店,2,四川,https://item.jd.com/10035721917756.html,https://mall.jd.com/index-10111120.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/178195/16/20094/235507/611df76aE35ae440f/c965d78469a9942a.jpg
苏绣初学双面刺绣印图团扇子手工自绣绣线初学套件材料包钜惠 19,￥100.00,言慕家居日用专营店,0,四川,https://item.jd.com/10049446640931.html,https://mall.jd.com/index-11858426.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/188905/28/23350/119887/625a9242Ef9f4d762/9af047354daae6aa.jpg
陌上桑 双面绣手工刺绣熊猫四川成都特色中式装饰摆件中国风礼品送老外纪念品开业乔迁新居圣诞节礼物 锦鸡报晓（成都发货）,￥309.00,齐力礼品专营店,2000+,四川,https://item.jd.com/10036039090332.html,https://mall.jd.com/index-197207.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/161478/7/32727/148265/637c9904E060b2b9c/2ab311490f574742.jpg
陌上桑 双面绣手工刺绣熊猫四川成都特色中式装饰摆件中国风礼品送老外纪念品开业乔迁新居圣诞节礼物 大展宏兔（成都发货）,￥309.00,齐力礼品专营店,2000+,四川,https://item.jd.com/10042838288514.html,https://mall.jd.com/index-197207.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/204979/11/26350/143592/63913e81Efb0c5a33/1265a07ff9e94a9d.jpg
陌上桑 双面绣手工刺绣乔迁礼物四川特色中式装饰摆件中国风礼品送老外圣诞节礼物开业入伙搬家乔迁礼物 年年有余（成都发货）,￥348.00,齐力礼品专营店,1000+,四川,https://item.jd.com/10042837961636.html,https://mall.jd.com/index-197207.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/139989/22/27104/147979/61e644deE9f88ca28/b9a4ff6aecff07f8.jpg
成都旅游纪念品蜀锦刺绣围巾女 领带男中国风特色礼品送老外 奶白金梅+黄龙 米白盛世牡丹+黄龙,￥356.00,西萤家居旗舰店,11,四川,https://item.jd.com/10041850589251.html,https://mall.jd.com/index-11600335.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/218719/8/7092/171650/61b0658cE579fc9ad/6043e3f81351f4b0.jpg
老秀馆 手工刺绣双面绣摆件新中式客厅玄关装饰摆件中国特色礼物送老外圣诞节礼物四川特色礼品 鸟语花香,￥388.00,老秀馆官方旗舰店,7,四川,https://item.jd.com/10046260033326.html,https://mall.jd.com/index-10051377.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/140334/15/23855/887032/622b15b3E2263a471/8fe1ddf336270185.png
久拙汇 成都手工双面绣花鸟牡丹香妃竹团扇四川特色礼品送老外中国风 金牡丹,￥1468.00,久拙汇旗舰店,1,四川,https://item.jd.com/41317830323.html,https://mall.jd.com/index-918903.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/21113/27/18735/91386/63296a0bE1c757c5b/9b46bd944ed733bf.jpg
陌上桑 双面绣手工刺绣乔迁礼物四川特色中式装饰摆件中国风礼品送老外圣诞节礼物开业入伙搬家乔迁礼物 竹子双熊猫（成都发货）,￥368.00,齐力礼品专营店,1000+,四川,https://item.jd.com/10025821535954.html,https://mall.jd.com/index-197207.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/194997/18/26557/158640/62df5e9bEf91247f0/7dc54b82045b7366.jpg
成都特色伴手礼手工刺绣熊猫摆件中国风礼品送老外新款如意 红梅熊猫,￥628.80,上策旗舰店,2,四川,https://item.jd.com/10059139818405.html,https://mall.jd.com/index-12231268.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/14353/4/17619/91506/630cae5dE1fa0c8be/39ab17d0c0ebda4e.jpg
陌上桑 手工刺绣双面绣屏风摆件中国风特色礼品送老外圣诞礼物升职礼物乔迁搬家礼品毕业礼物送老师同学 节节高,￥355.00,齐力礼品专营店,50,四川,https://item.jd.com/10031972500409.html,https://mall.jd.com/index-197207.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/107058/34/31805/101832/63490550E0c8ea543/984d83fde7005aa0.jpg
安靖之乡 手工刺绣佛教主题唐卡挂画 非遗客厅餐厅装饰画 中式酒店走廊过道墙面饰品高端工艺品 白度母唐卡,￥269991.00,安靖蜀绣之乡旗舰店,0,四川,https://item.jd.com/10020937173048.html,https://mall.jd.com/index-10111120.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/127707/26/10961/302337/5f47849eE9dbd1407/f47e469228832c0b.png
安靖之乡 中式国风摆件手工刺绣家居装饰品菩提叶金线绣非遗手工艺品四川特色礼品 摘月手,￥360.00,安靖蜀绣之乡旗舰店,54,四川,https://item.jd.com/10023005543549.html,https://mall.jd.com/index-10111120.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/187727/11/9499/302658/60d0529aEc0cb4a9c/6d975c6edc091367.jpg
伯莎丹顿（BERTHA  DENTON） 喜上眉梢新中式刺绣苏绣成品挂画客厅圆形餐厅玄关装饰画 喜上枝头,￥4998.00,伯莎家居专营店,0,四川,https://item.jd.com/10062884736523.html,https://mall.jd.com/index-763300.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/159807/32/31045/60285/6348043aE311b8151/d06f1516042e7044.jpg
逸福瑞 纯手工苏绣成品装饰挂画别墅湘绣刺绣装饰画孔雀图客厅书房横板黑胡桃实木外框富贵吉祥 富贵吉祥 黑胡桃实木框128*67,￥7580.00,逸福瑞官方旗舰店,0,四川,https://item.jd.com/10060945357669.html,https://mall.jd.com/index-10455659.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/133814/37/30504/68729/63280a25E31c19088/f674c331bc1f8191.jpg
老秀馆 手工刺绣双面绣客厅玄关办公室装饰摆件工艺品搬家乔迁升职礼物中国风特色礼品圣诞节礼物送老外 刻字上金 联系客服（成都发货）,￥333.00,老秀馆官方旗舰店,200+,四川,https://item.jd.com/10047072086949.html,https://mall.jd.com/index-10051377.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/113837/22/24181/130156/62399726Ea2e47f09/7b72fdd232d95fb8.jpg
陌上桑 双面绣手工刺绣乔迁礼物四川特色中式装饰摆件中国风礼品送老外圣诞节礼物开业入伙搬家乔迁礼物 友谊长存（成都发货）,￥348.00,齐力礼品专营店,1000+,四川,https://item.jd.com/10036825597652.html,https://mall.jd.com/index-197207.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/164131/27/28311/111636/6386c0c5E63f226a6/6b31325c70800253.jpg
陌上桑 中国风礼品双面绣檀木手工刺绣熊猫屏风办公室摆件中国四川特色圣诞节礼品送老外出国纪念礼物 福气满满,￥548.00,齐力礼品专营店,200+,四川,https://item.jd.com/10057123884892.html,https://mall.jd.com/index-197207.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/135656/32/28152/161714/62df5d36E0bf8b222/79ce3dac2f9632dc.jpg
老秀馆 手工刺绣双面绣雪娃娃熊猫摆件四川特色出国商务礼品送老外中国风纪念品圣诞节礼物送老师 报荷花,￥168.00,老秀馆官方旗舰店,30,四川,https://item.jd.com/10034453390348.html,https://mall.jd.com/index-10051377.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/195949/31/14913/100440/60fe7fabEcad420df/e77661591c97477b.jpg
丝绸钱包 手工刺绣绣花丝绸手拿钱包送老外中国风特色 出国礼品母亲节礼物送妈妈礼品钱包 浅紫色,￥728.00,久拙汇旗舰店,2,四川,https://item.jd.com/41311216312.html,https://mall.jd.com/index-918903.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/178346/32/29083/179951/63296a09E0edeaae9/cfec1668800f3c42.jpg
老秀馆 手工刺绣大熊猫双面绣檀木摆件四川特色手工艺礼品中国风特色礼物送老外出国外事商务礼品 五福临门-富贵有余,￥859.00,老秀馆官方旗舰店,4,四川,https://item.jd.com/52036475695.html,https://mall.jd.com/index-10051377.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/157074/30/31547/131974/6352428cEea625310/363183a24312a99f.jpg
蘇宏 苏绣湘绣桌面落地摆件红木台屏会客中国风苏州特色手工艺品 松鹤长春,￥380.00,蘇宏官方旗舰店,500+,四川,https://item.jd.com/28197184947.html,https://mall.jd.com/index-745744.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/42811/16/19985/67085/6361f471E260a6665/ce8a5e5077454068.jpg
陌上桑 双面绣手工刺绣乔迁礼物四川特色中式装饰摆件中国风礼品送老外圣诞节礼物开业入伙搬家乔迁礼物 亭亭玉立（成都发货）,￥348.00,齐力礼品专营店,1000+,四川,https://item.jd.com/10037200309580.html,https://mall.jd.com/index-197207.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/74335/11/20512/155269/62c268c6E1a493870/13a1b1f79be411c7.jpg
老秀馆 手工刺绣双面绣摆件新中式客厅玄关装饰摆件中国特色礼物送老外圣诞节礼物四川特色礼品 双宿双飞2,￥388.00,老秀馆官方旗舰店,7,四川,https://item.jd.com/10046260033328.html,https://mall.jd.com/index-10051377.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/97084/22/23716/906824/622b1619E19e1108b/3b971821c7d631d9.png
陌上桑 双面绣手工刺绣乔迁礼物四川特色中式装饰摆件中国风礼品送老外圣诞节礼物开业入伙搬家乔迁礼物 锦鸡报晓（成都发货）,￥348.00,齐力礼品专营店,1000+,四川,https://item.jd.com/10034426334186.html,https://mall.jd.com/index-197207.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/82594/33/17445/145198/637c99d1Ef70db282/de1e5c2242fc52e6.jpg
蜀锦 刺绣熊猫如意实木架川绣手工双面绣送友人外国人刺绣成都纪念礼品 竹林熊猫,￥485.10,恒琴家居专营店,0,四川,https://item.jd.com/10066220580812.html,https://mall.jd.com/index-12286770.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/108310/20/33844/93830/63837249E14e84d4c/d750bda1278d7cb7.jpg
逸福瑞 新中式苏绣成品挂画横板荷花水墨莲花餐厅客厅苏州刺绣湘绣绣品装饰挂画荷气生财 荷气生财 69*184实木框,￥3980.00,逸福瑞官方旗舰店,0,四川,https://item.jd.com/10065659405018.html,https://mall.jd.com/index-10455659.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/212790/32/23296/34689/6371de22Ea5d4a662/86627f33f3e04bda.jpg
陌上桑 手工刺绣双面绣屏风摆件中国风特色礼品送老外圣诞礼物升职礼物乔迁搬家礼品毕业礼物送老师同学 母爱,￥335.00,齐力礼品专营店,50,四川,https://item.jd.com/10045474343559.html,https://mall.jd.com/index-197207.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/212563/38/13616/134896/621f00a7E594aab12/3fd758bfe27841a1.jpg
爱韵馨华双面绣礼品成都蜀锦特色地区礼品摆件手工艺品送老外梅花熊猫 ·竹子熊猫,￥1280.00,爱韵馨华礼品旗舰店,14,四川,https://item.jd.com/33583832657.html,https://mall.jd.com/index-738473.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/145226/27/21017/301402/61e24092E41327b18/10041a27186be897.jpg
老秀馆 熊猫团扇中国风特色工艺品女生礼物送老外出国商务礼品古风扇子女团扇绣花双面绣刺绣汉服配饰 母爱（不含底座）,￥198.00,老秀馆官方旗舰店,100+,四川,https://item.jd.com/51591744793.html,https://mall.jd.com/index-10051377.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/139392/33/21461/216800/6180b701E477a0546/a30f367d8029a0fa.jpg
安靖之乡 四川方言熊猫双面绣工艺礼品 非遗纯手工刺绣家居装饰摆件 成都特色伴手礼送老外 藏猫儿 5寸,￥165.00,安靖蜀绣之乡旗舰店,8,四川,https://item.jd.com/10031998697959.html,https://mall.jd.com/index-10111120.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/180740/39/7423/132623/60b9e495E163266d4/2a5bccbe1c6c2460.png
RBXC 中国特色礼物送老外手工刺绣熊猫双面绣工艺摆件中国风特色礼物送老外成都纪念品 【鸡翅木】福气满满,￥570.55,聂莊家居旗舰店,0,四川,https://item.jd.com/10066211258777.html,https://mall.jd.com/index-11656605.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/138592/28/32193/139375/637c7fa7E127faaaf/b63f602fa054756c.jpg
老秀馆 手工刺绣双面绣客厅玄关办公室装饰摆件工艺品搬家乔迁升职礼物中国风特色礼品圣诞节礼物送老外 友谊长存（成都发货）,￥298.00,老秀馆官方旗舰店,200+,四川,https://item.jd.com/10033214574841.html,https://mall.jd.com/index-10051377.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/207579/35/28071/75252/6386bdf6Ebaab1a9f/c7d3faa08cc641eb.jpg
依山锦绣 中国风双面绣 刺绣花鸟摆件 四川特色纪念品工艺品送老师非遗 喜上眉梢,￥688.00,依山锦绣旗舰店,1,四川,https://item.jd.com/10025651324760.html,https://mall.jd.com/index-754134.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/165347/10/1659/160871/5ff804c6E81fbccaf/aebd6208a80722ef.jpg
老秀馆 手工刺绣双面绣客厅玄关办公室装饰摆件工艺品搬家乔迁升职礼物中国风特色礼品圣诞节礼物送老外 母爱（成都发货）,￥298.00,老秀馆官方旗舰店,200+,四川,https://item.jd.com/10042472654277.html,https://mall.jd.com/index-10051377.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/215373/35/8442/560050/61bff507E36d92e1a/7414f44dd7a081f8.png
陌上桑 双面绣手工刺绣乔迁礼物四川特色中式装饰摆件中国风礼品送老外圣诞节礼物开业入伙搬家乔迁礼物 福气满满（成都发货）,￥348.00,齐力礼品专营店,1000+,四川,https://item.jd.com/10038272736765.html,https://mall.jd.com/index-197207.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/191295/36/26705/157781/62df608dE67eed4cd/230563fe671e9278.jpg
陌上桑 双面绣手工刺绣乔迁礼物四川特色中式装饰摆件中国风礼品送老外圣诞节礼物开业入伙搬家乔迁礼物 舐犊情深（成都发货）,￥348.00,齐力礼品专营店,1000+,四川,https://item.jd.com/10023252281345.html,https://mall.jd.com/index-197207.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/197327/19/25180/147965/62b913f0Ebe3f5121/e1746897d45ca260.jpg
 手工刺绣 湘绣 双面绣中国特色礼品湘绣手工苏州刺绣花成品蚕丝双面台屏出国特色结婚定制 玉兰花鸟,￥293.88,蓬诚旗舰店,0,四川,https://item.jd.com/10055287304759.html,https://mall.jd.com/index-11631664.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/127256/30/32399/130603/6381a1e0E197e67bd/cfbf6a36887bc4c8.jpg
蘇宏 苏绣湘绣桌面落地摆件红木台屏会客中国风苏州特色手工艺品 国宝熊猫,￥380.00,蘇宏官方旗舰店,500+,四川,https://item.jd.com/28197184950.html,https://mall.jd.com/index-745744.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/159049/11/3851/301780/60051ccbE87976c78/8205eed81a1884fa.jpg
老秀馆 手工刺绣双面绣客厅玄关办公室装饰摆件工艺品搬家乔迁升职礼物中国风特色礼品圣诞节礼物送老外 锦鸡报晓（成都发货）,￥298.00,老秀馆官方旗舰店,200+,四川,https://item.jd.com/10042840283548.html,https://mall.jd.com/index-10051377.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/159437/35/28811/102844/637d82cdE82fbe65e/c0da0214524ed232.jpg
成都特色伴手礼手工刺绣熊猫摆件中国风礼品送老外新款如意 竹叶国宝,￥628.80,上策旗舰店,2,四川,https://item.jd.com/10059139818406.html,https://mall.jd.com/index-12231268.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/104890/21/30874/126270/630cae6cE8a43546d/e5586cf432683a31.jpg
陌上桑 双面绣手工刺绣乔迁礼物四川特色中式装饰摆件中国风礼品送老外圣诞节礼物开业入伙搬家乔迁礼物 刻字上金 联系客服（成都发货）,￥383.00,齐力礼品专营店,1000+,四川,https://item.jd.com/10025821535953.html,https://mall.jd.com/index-197207.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/162903/32/28270/132623/623994acE81f1db3e/870fc94d6987ba3b.jpg
