标题,价格,店铺,销量,地点,商品详情页,店铺链接,图片链接
蜀绣双面绣丨蜀江锦院手工刺绣摆件家居饰品中国风特色礼品送老外,698,蜀江锦院旗舰店,14人付款,四川 成都,//detail.tmall.com/item.htm?id=592450531440&ns=1&abbucket=18,//store.taobao.com/shop/view_shop.htm?user_number_id=3684665251,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/3684665251/O1CN01PYlScd1of0XHavQKf_!!0-item_pic.jpg
成都蜀绣手工刺绣拼纱围巾桑蚕丝披肩四川特色礼品中国风送老外,368,丑丑娃0422,23人付款,四川 成都,//item.taobao.com/item.htm?id=559598698200&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=277583047,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/277583047/O1CN01hZbMEw1YNZbYClTMM_!!0-item_pic.jpg
苏绣成品挂画客厅装饰画手工刺绣画新中式湘绣玄关蜀绣刺绣客厅画,869,幻影楠风,24人付款,浙江 金华,//item.taobao.com/item.htm?id=562335376552&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=103109861,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/103109861/O1CN01j8Qdo62MiOLgnvumo_!!103109861.jpg
蜀绣熊猫双面绣屏风工艺品摆件中国风特色出国礼品送老外刺绣礼物,246,luojie3898,24人付款,四川 成都,//item.taobao.com/item.htm?id=19083382455&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=78786457,//g-search2.alicdn.com/img/bao/uploaded/i4/i4/78786457/O1CN01ZLgxA41xZMA1Wbz7i_!!78786457.jpg
大熊猫蜀绣双面绣摆件出国送老外礼物成都特色旅游纪念品包邮插屏,246,蜀特旗舰店,10人付款,四川 成都,//detail.tmall.com/item.htm?id=622446667551&ns=1&abbucket=18,//store.taobao.com/shop/view_shop.htm?user_number_id=2207296297201,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2207296297201/O1CN01weGxga2346pdIH6sV_!!0-item_pic.jpg
中国风特色文创礼品送老外成都蜀绣围巾领带套装礼盒手工刺绣纪念,198,西祠宫坊旗舰店,17人付款,四川 成都,//detail.tmall.com/item.htm?id=580584573501&ns=1&abbucket=18,//store.taobao.com/shop/view_shop.htm?user_number_id=2908311042,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/2908311042/O1CN01K9L1Jo1JZHQWpbXWQ_!!0-item_pic.jpg
中国蜀绣成都特色手工刺绣桑蚕丝围巾送妈妈女友四川纪念丝巾礼品,268,许芳1232,21人付款,四川 成都,//item.taobao.com/item.htm?id=578041916394&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=603794228,//g-search2.alicdn.com/img/bao/uploaded/i4/i2/603794228/O1CN01wCKB2Z1h6TIjmiQcw_!!0-item_pic.jpg
蜀绣中式桌面摆件双面绣手工刺绣苏绣小件非遗手工艺品中国风礼品,360,安靖蜀绣之乡旗舰店,10人付款,四川 成都,//detail.tmall.com/item.htm?id=625051459769&ns=1&abbucket=18,//store.taobao.com/shop/view_shop.htm?user_number_id=2208646022805,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/2208646022805/O1CN01axXBv91WajZvSjYnK_!!0-item_pic.jpg
蜀绣蜀锦摆件四川成都熊猫太阳神鸟纪念品中国风特色礼品送老外,90,锦绣宫坊,16人付款,四川 成都,//item.taobao.com/item.htm?id=658251093197&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=2936302724,//g-search2.alicdn.com/img/bao/uploaded/i4/i3/2936302724/O1CN01FJSgZ61Vzdg30Guyh_!!2936302724.jpg
蜀绣手工刺绣丝巾真丝围巾刺绣成品中国特色礼品送老外的出国礼物,288,铄雅旗舰店,19人付款,四川 内江,//detail.tmall.com/item.htm?id=535735541332&ns=1&abbucket=18,//store.taobao.com/shop/view_shop.htm?user_number_id=2931565234,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/2931565234/O1CN01u5WkoR1oXDhRUlWIF_!!0-item_pic.jpg
蜀绣双面绣熊猫手工工艺品刺绣摆件panda民俗文化中国风礼物包邮,158,蜀特旗舰店,12人付款,四川 成都,//detail.tmall.com/item.htm?id=613512887469&ns=1&abbucket=18,//store.taobao.com/shop/view_shop.htm?user_number_id=2207296297201,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/2207296297201/O1CN01gLQOpz2346pjoZ58j_!!0-item_pic.jpg
蜀绣丝巾手工刺绣围巾特色纪念品中国风特色出国送老外圣诞礼品,238,锦绣宫坊,12人付款,四川 成都,//item.taobao.com/item.htm?id=670349319317&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=2936302724,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/2936302724/O1CN01GrCTxt1Vzdcnibs9k_!!2936302724.jpg
蜀绣手工刺绣摆件芸香木八角双面绣蜀绣摆件送老外熊猫纪念礼品,158,西祠宫坊成都专卖,14人付款,四川 成都,//detail.tmall.com/item.htm?id=594877765660&ns=1&abbucket=18,//store.taobao.com/shop/view_shop.htm?user_number_id=2581201201,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/2581201201/O1CN015ONhSR1Kk6PaGXLwI_!!0-item_pic.jpg
蜀绣双面绣屏风手工刺绣摆件中国风出国游学送老外礼品物成都特产,246,luojie3898,16人付款,四川 成都,//item.taobao.com/item.htm?id=567021286851&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=78786457,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/78786457/O1CN012hKrEK1xZMA2is2Yv_!!78786457.jpg
苏绣diy初学双面刺绣印图团扇子蜀绣手工自绣绣线初学套件材料包,68,3scloset,71人付款,江苏 苏州,//item.taobao.com/item.htm?id=615424104438&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=3540156360,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/3540156360/O1CN01wNIYIB1wqvZfrkWWr_!!3540156360.jpg
苏绣双面绣如意屏风蜀绣刺绣手工工艺品摆件中国风特色礼品送老外,208,西祠宫坊旗舰店,10人付款,江苏 南京,//detail.tmall.com/item.htm?id=596606231397&ns=1&abbucket=18,//store.taobao.com/shop/view_shop.htm?user_number_id=2908311042,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2908311042/O1CN01eTCSMl1JZHN5loToU_!!0-item_pic.jpg
成都蜀锦蜀绣熊猫摆件蜀锦工艺品刺绣摆件中国风特色纪念品送老外,168,铄雅旗舰店,21人付款,四川 成都,//detail.tmall.com/item.htm?id=645137565141&ns=1&abbucket=18,//store.taobao.com/shop/view_shop.htm?user_number_id=2931565234,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/2931565234/O1CN01sbYDDW1oXDgZbTNCT_!!0-item_pic.jpg
四川特色工艺品礼物送老外蜀绣双面绣熊猫纪念品手工刺绣摆件礼品,368,guowenchang1,4人付款,四川 成都,//item.taobao.com/item.htm?id=605363086545&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=48589795,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/48589795/O1CN015rHgiC2MEAD7q6LiT_!!0-item_pic.jpg
蜀绣手工刺绣双面绣大熊猫屏风摆件中国风特色礼品送老外成都特产,229,蜀国绣苑,11人付款,四川 成都,//item.taobao.com/item.htm?id=648738011808&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=2224861341,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2224861341/O1CN01rIBa9W1LmDuQ22iOG_!!2224861341.jpg
蜀绣 双面绣摆件国宝熊猫四川成都特产纯手工刺绣礼品 纪念品,172,w_b_li,12人付款,四川 成都,//item.taobao.com/item.htm?id=579468827768&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=1760642570,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/1760642570/O1CN011Ur6M2UbQvQQNry_!!1760642570.jpg
中式锦鲤鱼双面绣礼品 非遗蜀绣手工刺绣摆件 中国特色礼物送老外,2180,安靖蜀绣之乡旗舰店,2人付款,四川 成都,//detail.tmall.com/item.htm?id=655683220357&ns=1&abbucket=18,//store.taobao.com/shop/view_shop.htm?user_number_id=2208646022805,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/2208646022805/O1CN01xGyJ2k1Wajfegaat5_!!0-item_pic.jpg
成都特色蜀绣手工刺绣兰草双层桑蚕丝围巾丝巾礼品送妈妈老师长辈,288,许芳1232,14人付款,四川 成都,//item.taobao.com/item.htm?id=636091800456&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=603794228,//g-search1.alicdn.com/img/bao/uploaded/i4/i2/603794228/O1CN01AkRUYx1h6TIexwi3J_!!0-item_pic.jpg
雅绣集湘绣非蜀绣苏绣手工刺绣摆件桌面双面绣屏风新中式新年礼,328,雅绣集,6人付款,湖南 长沙,//item.taobao.com/item.htm?id=569948446336&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=1868471360,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/1868471360/O1CN014xfvBK1LuvFLNal11_!!1868471360.jpg
苏绣绣架 实木绣凳绷架 厂家刺绣架子 十字绣蜀绣湘绣通用 绣花架,150,刘佰平759238768,12人付款,江苏 苏州,//item.taobao.com/item.htm?id=602537317750&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=2634511480,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/2634511480/O1CN018BEmqR1Mnsk1n4b1x_!!2634511480.jpg
苏绣团扇中国特色送老外礼物中国风礼品蜀绣手工刺绣双面绣扇子,69,西奇旗舰店,13人付款,浙江 杭州,//detail.tmall.com/item.htm?id=530578921710&ns=1&abbucket=18,//store.taobao.com/shop/view_shop.htm?user_number_id=2217177146,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/2217177146/O1CN01hkhTi622eupQhhBXm_!!0-item_pic.jpg
苏绣成品挂画带框装饰画真丝手工刺绣餐厅刺绣画事事如意蜀绣,160,幻影楠风,6人付款,浙江 金华,//item.taobao.com/item.htm?id=542743715619&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=103109861,//g-search2.alicdn.com/img/bao/uploaded/i4/i4/103109861/O1CN01y9mF1n2MiOIsk810T_!!103109861.jpg
苏绣绣架 红木绣凳绷架 厂家刺绣架子 十字绣蜀绣湘绣通用 绣花架,198,刘佰平759238768,7人付款,江苏 苏州,//item.taobao.com/item.htm?id=641534057537&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=2634511480,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2634511480/O1CN01nJpu6v1MnsqimthMy_!!2634511480.jpg
苏绣双面绣屏风蜀绣纯手手工绣刺绣礼品中国风送老外礼物绣品摆件,198,西奇旗舰店,6人付款,浙江 杭州,//detail.tmall.com/item.htm?id=596024787392&ns=1&abbucket=18,//store.taobao.com/shop/view_shop.htm?user_number_id=2217177146,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/2217177146/O1CN01g8GxHG22eupaJ2iK4_!!0-item_pic.jpg
四川特色工艺礼品蜀锦蜀绣熊猫相框摆件送老师送朋友送客户礼物,158,筠艺奇葩,5人付款,四川 成都,//item.taobao.com/item.htm?id=584535410534&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=252450366,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/252450366/O1CN01WGVd5d1EZfeoSz9So_!!252450366.jpg
苏绣绣架 实木绣凳绷架 厂家刺绣架子 十字绣蜀绣湘绣通用 绣花架,40,tb634265722,7人付款,江苏 苏州,//item.taobao.com/item.htm?id=641280974770&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=2210907473486,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/2210907473486/O1CN01o8fd2a1bcdLs4j6pW_!!2210907473486.jpg
蜀锦蜀绣真丝围巾女特色中国风纯手工刺绣围脖送老外妈妈丝绸礼品,128,四川熊猫生活馆,3人付款,四川 成都,//item.taobao.com/item.htm?id=542722251244&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=2717309641,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/2717309641/TB2NAGKXgxlpuFjy0FoXXa.lXXa_!!2717309641.jpg
成都特产蜀绣手工刺绣围巾纪念品中国风桑蚕丝真丝出国送老外礼品,637.32,tb592727704,3人付款,四川 成都,//item.taobao.com/item.htm?id=677847701861&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=2213254086796,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/2213254086796/O1CN01YhEEG5204cQj6p9LG_!!2213254086796.jpg
蜀绣蜀锦成都川绣双面绣手工艺品刺绣摆件中国风特色礼品纪念品,268,天府之国魅力之都,2人付款,四川 成都,//item.taobao.com/item.htm?id=545929321769&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=2582918416,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/2582918416/O1CN018oZ1Ts2C2a3tVMFgF_!!0-item_pic.jpg
蜀绣手工双面刺绣摆件大熊猫屏风中国风特色礼物送老外成都纪念品,225,蜀国绣苑,5人付款,四川 成都,//item.taobao.com/item.htm?id=649532837801&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=2224861341,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/2224861341/O1CN013w4Tip1LmDoUwJYmp_!!2224861341.jpg
。蜀绣丝巾手工刺绣围巾成都特产纪念品中国风特色出国送老外礼品,549.1,tb139594403114,3人付款,四川 成都,//item.taobao.com/item.htm?id=678137361456&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=2210289511736,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/2210289511736/O1CN017q1Wjg1Oh8Kpd20b7_!!2210289511736.jpg
苏绣绣架卷绷适用各类台式刺绣纯实木十字绣蜀绣湘绣DIY方便安装,60,tb1460150,16人付款,江苏 苏州,//item.taobao.com/item.htm?id=575167730432&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=489931610,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/489931610/O1CN01cQrBtD1NlQL5eYbvt_!!489931610.jpg
四川成都特色工艺礼品装饰蜀锦蜀绣卷轴挂画送领导送老师送老外,680,筠艺奇葩,3人付款,四川 成都,//item.taobao.com/item.htm?id=602693118432&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=252450366,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/252450366/O1CN01Ie95RZ1EZfhZaEYNJ_!!252450366.jpg
苏绣桑蚕丝线 缠花线 绣花线 蜀绣湘绣粤绣手工刺绣DIY绣线常用色,62.5,18901544464luomin,8人付款,江苏 苏州,//item.taobao.com/item.htm?id=686489075167&ns=1&abbucket=18#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=2108715791,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/2108715791/O1CN01MrUL0W1seKOfsIMnf_!!2108715791.jpg
